;;;;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE;PROXIMITE;ELECTRONIQUE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE
id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
77;Croissy-Beaubourg;1995;2010;0;1;1;0;1;1;0;0;0;1;3;2;0;1;0;2;0;1;2;0;2;0;1
77;Crouy-sur-Ourcq;1995;1747;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Cucharmoy;1995;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Cuisy;1995;442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Dagny;1995;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Dammarie-les-Lys;1995;20722;1;3;1;1;4;11;9;0;0;2;7;2;2;0;6;5;0;2;1;2;5;2;4
77;Dammartin-en-Goële;1995;8052;0;2;1;1;1;3;1;0;0;1;2;3;0;2;1;0;0;0;0;0;2;2;0
77;Dammartin-sur-Tigeaux;1995;889;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Dampmart;1995;3158;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
77;Darvault;1995;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
77;Dhuisy;1995;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Diant;1995;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Donnemarie-Dontilly;1995;2801;0;0;1;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
77;Dormelles;1995;882;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Doue;1995;1014;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Douy-la-Ramée;1995;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Échouboulains;1995;512;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
77;Écuelles;1995;2479;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;3;0;2
77;Égligny;1995;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
